word,video_id,split,bbox,frame_start,frame_end,video_path,frames,duration_sec
book,69241,train,"[385, 37, 885, 720]",1,-1,/content/videos_25fps/69241.mp4,64,2.56
book,07069,train,"[462, 44, 949, 720]",1,-1,/content/videos_25fps/07069.mp4,31,1.24
book,07068,train,"[234, 17, 524, 414]",1,-1,/content/videos_25fps/07068.mp4,58,2.32
book,07070,train,"[131, 26, 526, 480]",1,-1,/content/videos_25fps/07070.mp4,73,2.92
book,07099,val,"[162, 54, 528, 400]",1,-1,/content/videos_25fps/07099.mp4,74,2.96
book,07074,train,"[82, 11, 212, 192]",1,-1,/content/videos_25fps/07074.mp4,33,1.32
drink,69302,val,"[551, 68, 1350, 1080]",1,-1,/content/videos_25fps/69302.mp4,66,2.64
drink,65539,train,"[153, 11, 488, 370]",1,-1,/content/videos_25fps/65539.mp4,46,1.84
drink,17710,train,"[196, 15, 521, 414]",1,-1,/content/videos_25fps/17710.mp4,60,2.4
drink,17733,train,"[186, 63, 551, 400]",1,-1,/content/videos_25fps/17733.mp4,79,3.16
drink,65540,train,"[167, 19, 480, 370]",1,-1,/content/videos_25fps/65540.mp4,48,1.92
drink,17734,val,"[183, 55, 552, 400]",1,-1,/content/videos_25fps/17734.mp4,76,3.04
drink,17711,train,"[289, 9, 783, 480]",1,-1,/content/videos_25fps/17711.mp4,69,2.76
drink,17712,train,"[673, 90, 1571, 1072]",1,-1,/content/videos_25fps/17712.mp4,45,1.8
drink,17713,test,"[28, 0, 542, 480]",1,-1,/content/videos_25fps/17713.mp4,78,3.12
drink,17709,train,"[41, 9, 257, 240]",1,-1,/content/videos_25fps/17709.mp4,105,4.2
drink,17720,train,"[49, 3, 220, 192]",1,-1,/content/videos_25fps/17720.mp4,35,1.4
drink,17721,train,"[66, 19, 209, 192]",1,-1,/content/videos_25fps/17721.mp4,42,1.68
drink,17722,train,"[66, 19, 209, 192]",1,-1,/content/videos_25fps/17722.mp4,42,1.68
drink,17723,train,"[65, 20, 208, 192]",1,-1,/content/videos_25fps/17723.mp4,51,2.04
drink,17724,val,"[68, 18, 220, 192]",1,-1,/content/videos_25fps/17724.mp4,26,1.04
computer,12328,train,"[56, 11, 240, 192]",1,-1,/content/videos_25fps/12328.mp4,75,3.0
computer,12312,val,"[422, 50, 824, 720]",1,-1,/content/videos_25fps/12312.mp4,86,3.44
computer,12311,train,"[27, 0, 313, 240]",1,-1,/content/videos_25fps/12311.mp4,62,2.48
computer,12338,train,"[221, 42, 501, 400]",1,-1,/content/videos_25fps/12338.mp4,91,3.64
computer,12313,train,"[409, 51, 833, 720]",1,-1,/content/videos_25fps/12313.mp4,69,2.76
computer,12314,train,"[257, 38, 1684, 1080]",1,-1,/content/videos_25fps/12314.mp4,38,1.52
computer,12315,val,"[436, 35, 1765, 1080]",1,-1,/content/videos_25fps/12315.mp4,49,1.96
computer,12316,train,"[412, 18, 1698, 1080]",1,-1,/content/videos_25fps/12316.mp4,38,1.52
computer,12317,train,"[473, 44, 1708, 1080]",1,-1,/content/videos_25fps/12317.mp4,46,1.84
computer,12318,train,"[365, 45, 1673, 1080]",1,-1,/content/videos_25fps/12318.mp4,39,1.56
computer,12319,train,"[494, 99, 1414, 1077]",1,-1,/content/videos_25fps/12319.mp4,35,1.4
computer,12320,test,"[74, 19, 565, 480]",1,-1,/content/videos_25fps/12320.mp4,87,3.48
computer,12326,val,"[69, 9, 214, 192]",1,-1,/content/videos_25fps/12326.mp4,63,2.52
computer,12327,train,"[63, 0, 218, 192]",1,-1,/content/videos_25fps/12327.mp4,40,1.6
before,05728,train,"[624, 70, 1587, 1070]",1,-1,/content/videos_25fps/05728.mp4,27,1.08
before,05749,train,"[167, 52, 512, 400]",1,-1,/content/videos_25fps/05749.mp4,77,3.08
before,05750,val,"[171, 52, 513, 400]",1,-1,/content/videos_25fps/05750.mp4,85,3.4
before,05729,train,"[300, 12, 1202, 1080]",1,-1,/content/videos_25fps/05729.mp4,45,1.8
before,05730,train,"[712, 64, 1652, 1080]",1,-1,/content/videos_25fps/05730.mp4,32,1.28
before,65167,train,"[190, 0, 504, 370]",1,-1,/content/videos_25fps/65167.mp4,60,2.4
